Date,Meal,Name,Calories,Carbs,Fat,Protein,Cholesterol,Sodium,Sugars,Fibre
26-Jul-16,Breakfast,"Fresh - White Peach - Medium, 1 peach, 150g",59,15,0,1,0,0,13,2
26-Jul-16,Breakfast,"Kirkland - Homogenized Whole Milk, 1 cup (240 ml)",160,13,8,8,35,125,13,0
26-Jul-16,Breakfast,"Coffee - Brewed, espresso, 2 fluid ounce",1,0,0,0,0,8,0,0
26-Jul-16,Breakfast,"Chiqui - Banana, 126 g",110,30,0,1,0,0,19,3
26-Jul-16,Lunch,"Good Foods - Tableside Chunky Guacamole (Corrected), 1 container (71g)",80,5,7,1,0,330,1,3
26-Jul-16,Lunch,"Usda Choice - Ribeye Steak, 5 oz",367,3,24,34,110,123,0,0
26-Jul-16,Lunch,"Kirkland - Organic Quinoa, 0.75 cup dry (44g)",480,84,8,18,0,0,9,9
26-Jul-16,Dinner,"Costco - Stuffed Salmon, 0.75 piece",383,19,20,30,19,773,3,1
26-Jul-16,Dinner,"Panera Pasta Pesto - Pesto, 3.63 oz",230,22,13,7,23,390,0,3
26-Jul-16,Dinner,"Benihana - Salad With Ginger Dressing, 1 Salad",88,3,8,2,0,362,3,2
27-Jul-16,Breakfast,"Kirkland - Homogenized Whole Milk, 1 cup (240 ml)",160,13,8,8,35,125,13,0
27-Jul-16,Breakfast,"Coffee - Brewed, espresso, 2 fluid ounce",1,0,0,0,0,8,0,0
27-Jul-16,Breakfast,"Chiqui - Banana, 126 g",110,30,0,1,0,0,19,3
27-Jul-16,Lunch,"Kirkland - Organic Quinoa, 0.25 cup dry (44g)",160,28,3,6,0,0,3,3
27-Jul-16,Lunch,"Costco - Stuffed Salmon, 0.75 piece",383,19,20,30,19,773,3,1
27-Jul-16,Dinner,"Trader Joe&#x27;s - Carrot Cupcake, 1 cake",450,68,119,5,0,0,0,0
27-Jul-16,Dinner,"Costco - Chicken Thighs, 2 thigh (140g)",380,0,28,34,140,150,0,0
27-Jul-16,Dinner,"Green Beans Grilled - Green Beans, 4 oz. 56g",40,0,0,3,0,0,1,4
27-Jul-16,Dinner,"Avacado, Tomato &amp; Feta Salad - Avacado, Tomato &amp; Feta Salad, 1 meal",172,14,15,11,0,721,0,0
27-Jul-16,Snacks,"G.t.&#x27;s Kombucha - Organic Raw Komucha Original, 48 oz",180,42,0,0,0,60,12,0
28-Jul-16,Breakfast,"Kirkland - Homogenized Whole Milk, 1 cup (240 ml)",160,13,8,8,35,125,13,0
28-Jul-16,Breakfast,"Coffee - Brewed, espresso, 2 fluid ounce",1,0,0,0,0,8,0,0
28-Jul-16,Breakfast,"Egg, whole, cooked, poached, 1 large",72,0,5,6,185,149,0,0
28-Jul-16,Breakfast,"the Sun Valley Rice Co., Llc - Gaba Rice, 1/4 Cup",158,36,0,3,0,3,1,4
28-Jul-16,Lunch,"Generic - Tritip Steak, 4.5 oz cooked",320,0,17,39,86,93,0,0
28-Jul-16,Lunch,"Dole Costco - Banana, 1 banana",90,23,0,1,0,1,12,3
28-Jul-16,Dinner,"Trader Joe&#x27;s - Chicken Patty, 8 ounces",360,0,18,52,200,1040,0,0
28-Jul-16,Dinner,"Franz - Classic Hamburger Bun, 2 bun",280,52,4,8,0,480,6,0
28-Jul-16,Dinner,"Kraft - Real Mayo With No Artificial Flavors, 0.5 tbsp",45,0,5,0,3,35,0,0
28-Jul-16,Dinner,"Avacado, Tomato &amp; Feta Salad - Avacado, Tomato &amp; Feta Salad, 1 meal",172,14,15,11,0,721,0,0
