arg= 2016-07-27-gut-73837.json 

arg= 2016-07-28-gut-73814.json 

arg= 2016-07-29-gut-74607.json 

arg= 2016-07-31-gut1-74573.json 

arg= 2016-08-01-gut-74561.json 

arg= 2016-08-02-gut-75657.json 

arg= 2016-08-03-gut-75637.json 

arg= 2016-08-04-gut-75625.json 

arg= 2016-08-04-gut-78351.json 

arg= 2016-08-05-gut-75519.json 

tax_name,tax_rank,2016-07-26-gut-73813.json,2016-07-27-gut-73837.json,2016-07-28-gut-73814.json,2016-07-29-gut-74607.json,2016-07-31-gut1-74573.json,2016-08-01-gut-74561.json,2016-08-02-gut-75657.json,2016-08-03-gut-75637.json,2016-08-04-gut-75625.json,2016-08-04-gut-78351.json,2016-08-05-gut-75519.json
root,root,1015896,1028197,1036596,1035401,1018779,1025309,1023428,1014881,1013811,1033948,1028432
Bacteria,superkingdom,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
Flavobacterium,genus,1879,1615,898,798,430,1691,845,501,1133,1160,1259
Enterobacteriaceae,family,345,1062,457,1158,1344,1110,829,1852,240,41,0
Kluyvera,genus,345,1062,457,1078,1303,1071,829,1684,240,41,0
Bacteroidaceae,family,157069,122122,114408,92225,118607,120104,175107,154164,170872,108270,135807
Bacteroides,genus,157039,122122,114408,92225,118540,120104,174896,154164,170717,108229,135712
Bacteroides fragilis,species,2285,882,1308,7602,1962,903,8357,26058,2301,0,0
Bacteroides thetaiotaomicron,species,511,523,536,319,80,154,406,192,584,179,433
Bacteroides uniformis,species,90,89,157,66,188,142,601,154,171,41,149
Bacteroides vulgatus,species,43207,33312,37132,23565,30730,26897,33265,22894,32243,24511,43535
Parabacteroides distasonis,species,4346,4831,5518,5072,4436,6482,7983,4874,10770,5291,7097
Fibrobacter,genus,75,59,78,133,174,180,0,90,103,96,67
Porphyromonas,genus,45,0,31,825,578,322,48,25,0,27,108
Roseburia,genus,78790,64322,60357,58967,44993,66992,39704,24682,70138,76988,65330
Faecalibacterium prausnitzii,species,122539,133819,130995,111970,72552,119032,2877,82934,3366,133542,129820
Desulfovibrio,genus,1398,1839,1545,1997,1680,1769,1869,1427,1683,1340,1408
Megasphaera,genus,255,0,63,319,134,154,146,334,34,0,0
Herbaspirillum,genus,270,418,441,399,295,400,0,282,34,151,338
Bacteroidetes,phylum,230761,198770,191368,176596,195878,205433,277554,256816,294607,167615,227524
